City ID,City,Country,Act Lat,Act Lon,Temperature (F),Humidity,Cloudiness,Wind Speed
212730,kisangani,cd,0.52,25.2,75.42,75,61,3.67
1501377,kungurtug,ru,50.6,97.52,27.77,58,0,4.23
2163355,hobart,au,-42.88,147.33,40.64,87,0,9.17
3652764,puerto ayora,ec,-0.74,-90.35,84.13,70,20,9.17
3137469,sorland,no,67.67,12.69,37.4,86,20,12.75
3874787,punta arenas,cl,-53.15,-70.92,62.13,55,6,12.75
3833367,ushuaia,ar,-54.8,-68.3,68.0,32,39,5.82
3374346,ponta do sol,cv,17.2,-25.09,78.8,61,20,33.33
5848280,kapaa,us,22.08,-159.32,70.77,88,75,5.82
1785036,zhangye,cn,38.93,100.45,49.46,20,46,2.3
970341,nkowakowa,za,-23.89,30.29,60.8,77,75,14.99
3471451,arraial do cabo,br,-22.97,-42.03,74.44,78,90,13.87
1538641,kedrovyy,ru,56.17,91.82,42.8,60,100,11.18
2122614,okha,ru,53.57,142.95,19.78,97,0,10.09
1726449,basco,ph,20.45,121.97,75.13,74,42,6.15
2122605,okhotsk,ru,59.38,143.3,22.93,90,0,14.38
4031742,egvekinot,ru,66.32,-179.17,-11.76,85,25,2.86
964432,port alfred,za,-33.59,26.89,65.68,62,97,13.27
1267716,karmala,in,18.42,75.2,82.38,26,0,14.74
3454783,patos de minas,br,-18.58,-46.52,80.76,55,51,2.64
779683,hammerfest,no,70.66,23.68,35.6,94,90,3.36
2071860,esperance,au,-33.87,121.9,64.4,68,37,14.99
6071421,meadow lake,ca,54.13,-108.43,26.6,58,90,20.8
1490256,talnakh,ru,69.49,88.4,33.8,86,75,24.61
6050066,la ronge,ca,55.1,-105.28,21.2,62,75,17.22
4030556,rikitea,pf,-23.12,-134.97,76.89,81,51,11.77
1006984,east london,za,-33.02,27.91,66.29,63,100,11.12
2123814,leningradskiy,ru,69.38,178.42,0.28,90,100,6.55
2155562,nelson bay,au,-32.72,152.15,60.91,93,90,4.7
2110227,butaritari,ki,3.07,172.79,83.5,79,100,14.97
2206939,bluff,nz,-46.6,168.33,50.0,89,100,15.01
5850554,makakilo city,us,21.35,-158.09,72.07,83,75,3.36
5329649,blythe,us,33.61,-114.6,53.24,76,90,16.11
1525798,balkhash,kz,46.84,74.98,40.21,58,98,8.86
3573374,the valley,ai,18.22,-63.06,84.43,69,20,11.41
4032243,vaini,to,-21.2,-175.2,78.8,100,90,51.67
3932145,pisco,pe,-13.7,-76.22,73.09,30,8,6.93
5557293,sitka,us,57.05,-135.33,38.64,86,90,21.92
6620339,karratha,au,-20.74,116.85,81.19,64,12,5.41
2152667,portland,au,-38.33,141.6,56.48,85,1,11.1
2381334,atar,mr,20.52,-13.05,99.64,8,0,11.43
6170031,tuktoyaktuk,ca,69.45,-133.04,1.4,77,40,8.05
2077963,albany,au,-35.02,117.89,62.6,72,0,4.7
1637001,biak,id,-0.91,122.88,78.8,68,88,2.89
2015306,tiksi,ru,71.69,128.87,1.9,90,42,4.81
3674740,miraflores,co,1.34,-71.95,83.84,81,56,2.06
3366880,hermanus,za,-34.42,19.23,62.26,76,95,8.01
2729907,longyearbyen,sj,78.22,15.64,-4.0,64,20,6.93
3443061,chuy,uy,-33.7,-53.46,63.28,63,96,14.23
2020734,livadiya,ru,42.87,132.68,34.97,87,100,4.38
3896218,castro,cl,-42.47,-73.77,73.4,35,0,4.7
6096551,pangnirtung,ca,66.15,-65.71,19.4,67,20,1.81
2075265,busselton,au,-33.65,115.33,60.66,50,4,8.32
3984997,san quintin,mx,30.48,-115.95,58.98,60,32,10.29
2880425,lappersdorf,de,49.06,12.09,60.73,48,1,3.36
146639,lasa,cn,34.92,32.53,56.71,77,40,5.82
64814,bandarbeyla,so,9.49,50.81,81.21,63,0,9.84
2084442,vanimo,pg,-2.67,141.3,78.53,84,97,5.61
3662761,porto walter,br,-8.27,-72.74,73.72,88,100,2.24
1502073,krasnoselkup,ru,65.7,82.47,26.94,97,93,20.02
1106677,bambous virieux,mu,-20.34,57.76,78.42,78,40,10.29
5880054,barrow,us,71.29,-156.79,-11.2,83,1,5.82
1185095,teknaf,bd,20.86,92.31,77.07,88,71,2.33
4854534,dubuque,us,42.48,-90.87,58.77,59,1,16.11
5915327,cap-aux-meules,ca,47.38,-61.86,33.8,59,20,10.29
1687186,sarangani,ph,5.4,125.46,80.85,76,15,2.06
583683,aksarayskiy,ru,46.79,48.01,41.0,44,9,11.18
1624041,ternate,id,0.8,127.4,78.98,79,8,7.47
3370903,jamestown,sh,-15.94,-5.72,71.15,74,27,13.94
4026082,lazaro cardenas,mx,17.96,-102.2,90.16,33,40,7.87
3671497,puerto colombia,co,10.99,-74.95,89.6,62,40,18.34
2162683,innisfail,au,-17.53,146.03,70.72,85,23,4.07
3831208,qaanaaq,gl,77.48,-69.36,16.74,85,100,8.79
3355672,luderitz,na,-26.65,15.16,60.8,82,0,9.17
3377301,mabaruma,gy,8.2,-59.78,84.49,59,96,5.75
2063036,port lincoln,au,-34.73,135.87,59.59,82,30,11.81
2170581,coolum beach,au,-26.53,153.1,64.71,95,96,1.99
3369157,cape town,za,-33.93,18.42,62.4,72,96,10.29
6185377,yellowknife,ca,62.46,-114.35,21.97,57,5,11.41
2160063,codrington,ag,-28.95,153.24,60.35,93,75,6.85
